Question,Options,Demograph,Total Responses,Survey Response
" Please select which, if any, of the following most closely represents your dietary preference:",Vegetarian,Male,477,41
" Please select which, if any, of the following most closely represents your dietary preference:",Vegan,Male,477,18
" Please select which, if any, of the following most closely represents your dietary preference:",Pescatarian,Male,477,29
" Please select which, if any, of the following most closely represents your dietary preference:",Halal,Male,477,47
" Please select which, if any, of the following most closely represents your dietary preference:",Kosher,Male,477,6
" Please select which, if any, of the following most closely represents your dietary preference:",None of the above,Male,477,335
" Please select which, if any, of the following most closely represents your dietary preference:",Vegetarian,Female,532,49
" Please select which, if any, of the following most closely represents your dietary preference:",Vegan,Female,532,26
" Please select which, if any, of the following most closely represents your dietary preference:",Pescatarian,Female,532,32
" Please select which, if any, of the following most closely represents your dietary preference:",Halal,Female,532,40
" Please select which, if any, of the following most closely represents your dietary preference:",Kosher,Female,532,5
" Please select which, if any, of the following most closely represents your dietary preference:",None of the above,Female,532,380
